Conventions,G,BADC-CSV,1
title,G,uk-hourly-rain-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202207
history,G,Created 2022-07-29
last_revised_date,G,2022-07-29
observation_station,G,glasgow-bishopton
historic_county_name,G,renfrewshire
midas_station_id,G,24125
location,G,55.907,-4.532
height,G,59,m
date_valid,G,2003-01-01 00:00:00,2003-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date at end of observation period,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,ob_hour_count,Observation hour count,hours
type,ob_hour_count,int
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,prcp_amt,Precipitation amount,mm
type,prcp_amt,float
long_name,prcp_dur,Precipitation duration ,minutes
type,prcp_dur,int
long_name,prcp_amt_q,QC code: precipitation amount,1
type,prcp_amt_q,int
long_name,prcp_dur_q,QC code: precipitation duration,1
type,prcp_dur_q,int
long_name,prcp_amt_j,Descriptor: precipitation amount,1
type,prcp_amt_j,int
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS ,minutes
type,midas_stmp_etime,int
data
ob_end_time,id,id_type,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,prcp_amt,prcp_dur,prcp_amt_q,prcp_dur_q,prcp_amt_j,meto_stmp_time,midas_stmp_etime
2003-01-01 18:00:00,660195,RAIN,1,1,SREW,24125,1011,0.2,NA,1,0,NA,2003-01-01 17:59:00,423
2003-01-01 19:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-01 18:59:00,363
2003-01-01 20:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-01 19:59:00,303
2003-01-01 21:00:00,660195,RAIN,12,1,NCM,24125,1011,5.6,NA,6,0,NA,2003-01-01 21:07:00,246
2003-01-01 21:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-01 21:02:00,240
2003-01-01 22:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-01 21:59:00,183
2003-01-01 23:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-01 22:59:00,123
2003-01-02 00:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-01 23:59:00,591
2003-01-02 01:00:00,660195,RAIN,1,1,SREW,24125,1011,0.2,NA,1,0,NA,2003-01-02 01:00:00,530
2003-01-02 02:00:00,660195,RAIN,1,1,SREW,24125,1011,0.2,NA,1,0,NA,2003-01-02 01:59:00,471
2003-01-02 03:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 02:59:00,411
2003-01-02 04:00:00,660195,RAIN,1,1,SREW,24125,1011,0.4,NA,1,0,NA,2003-01-02 03:59:00,351
2003-01-02 05:00:00,660195,RAIN,1,1,SREW,24125,1011,0.2,NA,1,0,NA,2003-01-02 04:59:00,291
2003-01-02 06:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 05:59:00,231
2003-01-02 07:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 06:59:00,171
2003-01-02 08:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 08:00:00,110
2003-01-02 09:00:00,660195,RAIN,12,1,NCM,24125,1011,1.2,NA,6,0,NA,2003-01-02 09:06:00,48
2003-01-02 09:00:00,660195,RAIN,1,1,SREW,24125,1011,0.2,NA,1,0,NA,2003-01-02 09:00:00,50
2003-01-02 10:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 09:59:00,903
2003-01-02 11:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 10:58:00,844
2003-01-02 12:00:00,660195,RAIN,1,1,SREW,24125,1011,0.4,NA,1,0,NA,2003-01-02 11:59:00,783
2003-01-02 13:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 12:59:00,723
2003-01-02 14:00:00,660195,RAIN,1,1,SREW,24125,1011,0.2,NA,1,0,NA,2003-01-02 13:59:00,663
2003-01-02 15:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 14:59:00,603
2003-01-02 16:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 15:59:00,543
2003-01-02 17:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 16:59:00,483
2003-01-02 18:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 18:00:00,422
2003-01-02 19:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-02 18:59:00,363
2003-01-02 20:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-02 19:58:00,304
2003-01-02 21:00:00,660195,RAIN,12,1,NCM,24125,1011,0.6,NA,6,0,NA,2003-01-02 21:07:00,244
2003-01-02 21:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-02 20:59:00,243
2003-01-02 22:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 21:59:00,183
2003-01-02 23:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,10001,0,NA,2003-01-02 22:59:00,123
2003-01-03 00:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-02 23:59:00,591
2003-01-03 01:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 01:00:00,530
2003-01-03 02:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 01:59:00,471
2003-01-03 03:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 02:59:00,411
2003-01-03 04:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 03:58:00,352
2003-01-03 05:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 05:00:00,290
2003-01-03 06:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 05:59:00,231
2003-01-03 07:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 06:59:00,171
2003-01-03 08:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 07:59:00,111
2003-01-03 09:00:00,660195,RAIN,12,1,NCM,24125,1011,0,NA,10006,0,NA,2003-01-03 09:08:00,47
2003-01-03 09:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 08:59:00,51
2003-01-03 10:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 09:59:00,904
2003-01-03 11:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 10:59:00,844
2003-01-03 12:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 12:00:00,783
2003-01-03 13:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 12:59:00,724
2003-01-03 14:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 13:59:00,664
2003-01-03 15:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 14:59:00,604
2003-01-03 16:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 15:59:00,544
2003-01-03 17:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 16:59:00,484
2003-01-03 18:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 17:58:00,425
2003-01-03 19:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 18:58:00,365
2003-01-03 20:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 20:00:00,303
2003-01-03 21:00:00,660195,RAIN,12,1,NCM,24125,1011,0,NA,6,0,NA,2003-01-03 21:09:00,248
2003-01-03 21:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 20:59:00,244
2003-01-03 22:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 21:59:00,184
2003-01-03 23:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 22:59:00,124
2003-01-04 00:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-03 23:59:00,591
2003-01-04 01:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 01:00:00,530
2003-01-04 02:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 01:59:00,471
2003-01-04 03:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 02:58:00,412
2003-01-04 04:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 03:59:00,351
2003-01-04 05:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 04:59:00,291
2003-01-04 06:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 05:59:00,231
2003-01-04 07:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 06:59:00,171
2003-01-04 08:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 07:59:00,111
2003-01-04 09:00:00,660195,RAIN,12,1,NCM,24125,1011,0,NA,6,0,NA,2003-01-04 09:07:00,47
2003-01-04 09:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 08:59:00,51
2003-01-04 10:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 09:59:00,906
2003-01-04 11:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 10:59:00,846
2003-01-04 12:00:00,660195,RAIN,1,1,SREW,24125,1011,0.2,NA,1,0,NA,2003-01-04 11:58:00,787
2003-01-04 13:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 12:59:00,726
2003-01-04 14:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 13:59:00,666
2003-01-04 15:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 14:59:00,606
2003-01-04 16:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 16:00:00,545
2003-01-04 17:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 17:00:00,485
2003-01-04 18:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 17:58:00,427
2003-01-04 19:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 18:59:00,366
2003-01-04 20:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 19:59:00,306
2003-01-04 21:00:00,660195,RAIN,12,1,NCM,24125,1011,0.2,NA,6,0,NA,2003-01-04 21:08:00,251
2003-01-04 21:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 21:00:00,245
2003-01-04 22:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 21:59:00,186
2003-01-04 23:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-04 22:59:00,126
2003-01-05 00:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 00:00:00,590
2003-01-05 01:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 00:59:00,531
2003-01-05 02:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 01:59:00,471
2003-01-05 03:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 02:59:00,411
2003-01-05 04:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 03:59:00,351
2003-01-05 05:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 04:59:00,291
2003-01-05 06:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 06:00:00,230
2003-01-05 07:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 06:59:00,171
2003-01-05 08:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 07:59:00,111
2003-01-05 09:00:00,660195,RAIN,12,1,NCM,24125,1011,0,NA,6,0,NA,2003-01-05 09:07:00,48
2003-01-05 09:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 08:59:00,51
2003-01-05 10:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 10:02:00,900
2003-01-05 11:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 10:59:00,843
2003-01-05 12:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 11:59:00,783
2003-01-05 13:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 12:59:00,723
2003-01-05 14:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 13:59:00,663
2003-01-05 15:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 14:58:00,604
2003-01-05 16:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 15:59:00,543
2003-01-05 17:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 16:59:00,483
2003-01-05 18:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 17:59:00,423
2003-01-05 19:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 18:59:00,363
2003-01-05 20:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 19:59:00,303
2003-01-05 21:00:00,660195,RAIN,12,1,NCM,24125,1011,0,NA,6,0,NA,2003-01-05 21:08:00,247
2003-01-05 21:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 20:59:00,243
2003-01-05 22:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 21:59:00,183
2003-01-05 23:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-05 22:59:00,123
2003-01-06 00:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 00:00:00,590
2003-01-06 01:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 00:59:00,531
2003-01-06 02:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 01:59:00,471
2003-01-06 03:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 02:58:00,412
2003-01-06 04:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 03:59:00,351
2003-01-06 05:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 05:00:00,290
2003-01-06 06:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 05:59:00,231
2003-01-06 07:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 06:59:00,171
2003-01-06 08:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 07:58:00,112
2003-01-06 09:00:00,660195,RAIN,12,1,NCM,24125,1011,0,NA,6,0,NA,2003-01-06 09:07:00,48
2003-01-06 09:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 09:00:00,50
2003-01-06 10:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 09:59:00,903
2003-01-06 11:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 10:59:00,843
2003-01-06 12:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 11:59:00,783
2003-01-06 13:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 13:00:00,722
2003-01-06 14:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 13:59:00,663
2003-01-06 15:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 14:58:00,604
2003-01-06 16:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 16:00:00,542
2003-01-06 17:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 16:59:00,483
2003-01-06 18:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 17:58:00,424
2003-01-06 19:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 18:58:00,364
2003-01-06 20:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 19:59:00,303
2003-01-06 21:00:00,660195,RAIN,12,1,NCM,24125,1011,0,NA,6,0,NA,2003-01-06 21:06:00,249
2003-01-06 21:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 20:58:00,244
2003-01-06 22:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 21:59:00,183
2003-01-06 23:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 22:59:00,123
2003-01-07 00:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-06 23:58:00,593
2003-01-07 01:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 00:59:00,532
2003-01-07 02:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 01:59:00,472
2003-01-07 03:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 02:59:00,412
2003-01-07 04:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 03:59:00,352
2003-01-07 05:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 05:00:00,291
2003-01-07 06:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 06:00:00,231
2003-01-07 07:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 06:59:00,172
2003-01-07 08:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 07:59:00,112
2003-01-07 09:00:00,660195,RAIN,12,1,NCM,24125,1011,0,NA,6,0,NA,2003-01-07 09:07:00,50
2003-01-07 09:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 08:59:00,52
2003-01-07 10:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 09:59:00,903
2003-01-07 11:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 10:59:00,843
2003-01-07 12:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 12:00:00,782
2003-01-07 13:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 12:59:00,723
2003-01-07 14:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 13:59:00,663
2003-01-07 15:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 14:59:00,603
2003-01-07 16:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 16:00:00,542
2003-01-07 17:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 17:00:00,482
2003-01-07 18:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 17:59:00,423
2003-01-07 19:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 18:59:00,363
2003-01-07 20:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 19:58:00,304
2003-01-07 21:00:00,660195,RAIN,12,1,NCM,24125,1011,0,NA,6,0,NA,2003-01-07 21:06:00,248
2003-01-07 21:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 20:59:00,243
2003-01-07 22:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 21:59:00,183
2003-01-07 23:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 22:59:00,123
2003-01-08 00:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-07 23:58:00,592
2003-01-08 01:00:00,660195,RAIN,1,1,SREW,24125,1011,0,NA,1,0,NA,2003-01-08 00:59:00,531
